enzyme	cid
Nt_UGT1	66
Pt_UGT1	66
At_72B1	66
At_72E2	66
Mt_71G1	66
Mt_78G1	66
At_76E5	66
At_76E4	66
At_76E1	66
At_76E2	66
At_76E12	66
At_76E11	66
At_85A5	66
At_85A4	66
At_84A3	66
At_84A4	66
At_84A2	66
At_84A1	66
At_84B1	66
At_84B2	66
At_75B1	66
At_75D1	66
At_74F1	66
At_74F2	66
At_74B1	66
At_78D2	66
At_78D1	66
At_71C1	66
At_71C2	66
At_71C3	66
At_71C4	66
At_71C5	66
At_71B8	66
At_71B6	66
At_71B5	66
At_71B1	66
At_88A1	66
At_72E3	66
At_72E1	66
At_72D1	66
At_72C1	66
At_72B3	66
At_73C3	66
At_73C4	66
At_73C5	66
At_73C6	66
At_73C1	66
At_73C7	66
At_73B2	66
At_73B3	66
At_73B1	66
At_73B4	66
At_73B5	66
At_89B1	66
At_89C1	66
VVGT1	66
At_76C4	66
Am_88D3	66
At_71D1	66
Bm_88D9	66
Ct_71E5	66
Dc_71F5	66
Fe_71U1	66
Fe_72AC1	66
Fe_72B19	66
Fe_88J1	66
Fi_88A10	66
Gj_71A23	66
Gj_88F6	66
Gm_88E3	66
Lc_71A12	66
Lc_72B10	66
Lj_72AG1	66
Lj_72L6	66
Lj_72V3	66
Lj_72Z2	66
Lu_71M1	66
Lu_71P1	66
Lu_71Q2	66
Lu_72M2	66
Lu_72Q1	66
Lu_88G1	66
Mt_72L1	66
Mt_88E1	66
Nt_71A6	66
Os_72F1	66
Os_72H3	66
Os_72J1	66
Os_88C1	66
Pf_88D7	66
Rc_GT1	66
Sl_GT5	66
Sr_71E1	66
Sr_88B1	66
Vv_88A12	66
Zm_11344	66
Zm_15991	66
Zm_43295	66
Zm_51683	66
Zm_56026	66
Zm_58314	66
Zm_60993	66
Zm_62783	66
Zm_63550	66
Zm_71B1	66
Zm_72068	66
Zm_85854	66
UGT71G1	66
UGT78G1	66
OleD	66
UGT72B10	66
UGT74P1	66
UGT73A10	66
UGT74N1	66
UGT75L2	66
UGT85A20	66
UGT73Q1	66
UGT73A12	66
UGT86A5	66
UGT94E2	66
UGT84C2	66
UGT85B2	66
UGT74H5	66
UGT88C4	66
UGT74H6	66
UGT75E3	66
UGT73B4	66
UGT73C1	66
OsCGT	66
ZmUGT/UGT708A6	66
FeCGTa/UGT708C1	66
FeCGTb/UGT708C2	66
GmCGT/UGT708D1	66
GtUF6CGT1	66
MiCGT	66
MiCGTb	66
FcCGT/UGT708G1	66
CuCGT/UGT708G2	66
PlUGT43	66
TcCGT1	66
WjGT1/UGT84A57	66
GgCGT/UGT708B4	66
OsCGT2/UGT708A4	66
OsCGT3/UGT708A2	66
OsCGT6/UGT708A40	66
TaCGT1-A/UGT708A14	66
TaCGT1-B/UGT708A52	66
TaCGT1-D/UGT708A53	66
TaCGT2-A/UGT708A15	66
TaCGT2-B/UGT708A54	66
SbCGT1/UGT708A36	66
SbCGT2/UGT708A35	66
SbCGT3/UGT708A34	66
ZmCGT2/UGT708A5	66
ZmCGT3/UGT708A11	66
ZmCGT4/UGT708A41	66
ZmCGT5/UGT708A42	66
SiCGT1/UGT708A31	66
SiCGT2/UGT708A32	66
SiCGT3/UGT708A33	66
BdCGT1/UGT708A7	66
BdCGT2/UGT708A8	66
PhCGT1/UGT708A43	66
PhCGT2/UGT708A46	66
PgCGT1/UGT708A44	66
PpCGT1/UGT708A45	66
IroB	66
UrdGT2	66
SsfS6	66
DcUGT2	66
UGT85K14	66
UGT74B6	66
UGT712E1	66
PpUGT85A2	66
TwUGT2	66
UGT73C11	66
ApUFGT1	66
ApUFGT2	66
ApUFGT3	66
UGT73A17	66
TwUGT1	66
UGT71L2	66
UGT72AY1	66
UGT73A24	66
UGT73A25	66
UGT85A73	66
UGT74B1	66
UGT74B1 mut H22A	66
UGT74B1 mut D113A	66
OAO89857.1	66
QCD86231.1	66
BAG80544.1	66
ALO19893.1	66
AQQ16706.1	66
AFJ52996.1	66
AHX56914.1	66
BAM28983.1	66
