cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount_2	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
13	-0.00841415247829716	0.5124044485193576	-1.1530450882120595	-0.16430901148940275	-1.0173461212572343	0.48217653055027865	0.367111739321285	-0.5558070366753787	-0.18057939810328358	-0.2662922040682047	-0.3196835401706169	-0.5760428568214572	156.721	181.4	C1=CC(=C(C=C1Cl)Cl)Cl	0.0	94	0	0	0	0	9	0	0	48	3	-0.08428709445773132	0.06547384247015099	0.06547384247015099	0.08428709445773132	0.08999999999999991	72.5561133006454	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0.9720196282547264	0.46083459782412445	0.002864826148382382	0.2348996430128056	0.7651003569877338	2.0079889545091917e-12	2.5031772228931577	3.6468000000000007	41.47200000000001	9	125.436	146.33358379946128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.030	4.595	0.965
66	0.4910145890135651	0.7837252345350949	-1.3800390574299934	0.010467009060828343	-0.38570641421536883	0.3228518023462689	0.05088440533048246	-0.48494424760396837	-0.15474239100971496	-0.1756728813587578	-0.39203206831482185	-0.6887275859612065	149.941	163.0	C1=CC(=C(C=C1Cl)O)Cl	20.2	97	0	1	1	0	9	0	0	48	3	-0.5063397423514364	0.29317542957432996	0.29317542957432996	0.5063397423514364	-0.4000000000000001	68.53872158425483	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.0	0.986291735526608	0.5866529980948629	0.005137319416225621	0.16501094640026592	0.834989053600634	3.040858009452652e-12	2.4582040517884116	2.6990000000000003	38.12680000000001	9	119.855	148.7576352730699	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.689	3.834	0.969
72	0.08762284140854269	0.4633869086753362	-0.9083327826512321	-0.35906681277017005	0.9178598867667483	0.027062793585470257	-0.9249428039666823	-0.29592509570730424	0.21659823564134803	0.32833610160067467	-0.3827592167467085	-0.09222650251830096	165.561	154.12	C1=CC(=C(C=C1C(=O)O)O)O	77.8	157	0	3	4	1	11	0	0	58	4	-0.5042595843842756	0.33532252564441734	0.33532252564441734	0.5042595843842756	-1.71	71.03040236591397	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.0	0.9778784056067453	0.5036793181661148	0.004012857857213634	0.20917414717887486	0.7912823558081445	0.0038569311354153127	2.473452066915331	0.7959999999999998	36.7309	11	128.355	175.27203459043056	1	0	0	2	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	132.904	4.550	0.966
102	0.6130563852053614	0.8025908839050211	-1.5519026583502669	-0.20947832707631692	0.06794271440947319	0.13217467193064292	0.12993919687977085	0.20336923648063077	-0.005789095453740218	0.00412238106669758	-0.16081441311389288	-0.06560925685286136	152.650	124.14	C1=CC(=CC(=C1)O)CO	40.5	83	0	2	2	1	9	0	0	48	2	-0.5079548511567477	0.29309233801180634	0.29309233801180634	0.5079548511567477	-1.02	64.79791725588258	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9582785869666901	0.37617103612435115	0.004827951917379656	0.28583587906545954	0.7797390002563686	0.17367860508698937	2.16813410926522	0.8844999999999996	34.029599999999995	9	117.067	173.1506936408762	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	122.332	5.265	0.957
125	0.7767925285212586	0.4313283088992354	-1.6103148946370107	-0.1190890246587764	0.17556595120060509	-0.05450277644435274	0.14280924988600893	0.23375012106636434	-0.06493029729656524	-0.031401028341771366	-0.22410983588859992	-0.11146630338436583	151.229	124.14	C1=CC(=CC=C1CO)O	40.5	75	0	2	2	1	9	0	0	48	2	-0.5079666212710555	0.29309207062501824	0.29309207062501824	0.5079666212710555	-1.02	64.79791725588258	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9834459999801956	0.5523171689368176	0.008212080378089995	0.1812014490089779	0.8845670850966068	0.15198909312447573	2.2239738096682085	0.8844999999999994	34.029599999999995	9	117.040	172.56982249593892	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	122.313	5.273	0.957
135	0.16368375429817064	0.1774217190696852	-0.9698689816192988	-0.6601594656935453	0.8499048990916798	0.08895832690343364	-0.890834186835838	-0.22894207848522413	0.2235427183024886	0.16638995053066719	-0.32107768936008896	0.05718247416060033	156.075	138.12	C1=CC(=CC=C1C(=O)O)O	57.5	125	0	2	3	1	10	0	0	52	3	-0.507966178790397	0.33518285963636446	0.33518285963636446	0.507966178790397	-1.51	66.14949835559072	1	0	0	0	3	2	0	0	0	0	1	1	0	0	0	0	0.0	0.9866269588304368	0.5905266517389276	0.006555795231568038	0.1629946137423054	0.839476032446512	0.02288346705665366	2.3863903620744824	1.0903999999999996	35.06609999999999	10	120.102	169.3754237340196	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	124.200	4.098	0.967
240	-0.28190720202518205	0.13016195305837322	-0.991677763774217	-0.2853446807348899	-0.8108508380101108	0.4710739566182355	-0.20413586169078843	-0.4201132066129002	0.09518815689662535	-0.5330176840866866	0.4586355732006533	0.4068789931741174	130.273	106.12	C1=CC=C(C=C1)C=O	17.1	72	0	0	1	1	8	0	0	40	1	-0.2978964116504968	0.14954802883036308	0.14954802883036308	0.2978964116504968	-1.11	56.387690334944224	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0.9733326701767383	0.46967607678570317	0.00822769015911755	0.22939815423542703	0.7706018458144737	7.744461463972097e-11	1.9614366824458747	1.4990999999999999	31.829499999999996	8	102.537	144.15651280482084	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.137	2.601	0.975
241	0.07552463065517763	-0.18024845396673145	-1.0932627529382157	-0.37502746089797306	-1.065006742662044	0.11479359468575824	0.38065720009636056	-0.1765411315360985	0.061957771723811415	-0.14923873233604584	-0.06186901442187587	0.04341802177462235	109.717	78.11	C1=CC=CC=C1	0.0	15	0	0	0	0	6	0	0	30	0	-0.062268570782092456	0.062268570782092456	0.062268570782092456	0.062268570782092456	-0.78	45.86122612050386	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0.8727219962479462	0.2504164826378958	0.006001126955608419	0.488217489716417	0.5117825102945638	5.211462313049405e-11	1.4953925320999488	1.6866	26.441999999999993	6	83.352	125.70525098226275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.850	1.498	0.982
244	0.2790775620830938	0.10136516513620523	-1.4947046359299878	-0.48956724210051683	-0.48738548849684427	0.218257238554483	0.4574538547289686	0.32887576021925563	0.2873154621974452	-0.052808660543414446	-0.17444261771221645	0.14617506319895177	139.928	108.14	C1=CC=C(C=C1)CO	20.2	55	0	1	1	1	8	0	0	42	1	-0.3916804684282009	0.21052819736346176	0.21052819736346176	0.3916804684282009	-0.8200000000000001	59.91701324555934	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9706215176779176	0.4499575136912059	0.0075982553347822045	0.24061144906387147	0.7710969866675059	0.07636265159529645	1.9806774397334133	1.1788999999999998	32.364799999999995	8	108.246	159.03427908447372	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	111.905	3.659	0.967
289	0.4540106890633469	0.5712791962830601	-1.3354766971520693	-0.14187565021432316	-0.41781956281890614	0.25852632824744903	-0.1530052686808474	-0.10526628626940854	0.2313186966219299	-0.0010947770142403198	-0.19089077173821078	-0.17983626888437398	131.394	110.11	C1=CC=C(C(=C1)O)O	40.5	62	0	2	2	0	8	0	0	42	2	-0.5042601246702529	0.29329362056729674	0.29329362056729674	0.5042601246702529	-1.18	55.62303414115035	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.0	0.9181883458037392	0.2823581331448818	0.004054849615916599	0.3961441172479946	0.6038558827556443	1.658580273687831e-11	1.8477165287498967	1.0977999999999994	29.771599999999992	8	100.116	144.5958537723497	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.094	2.978	0.971
