enzyme	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
AFJ52996.1	0.03499787	0.061099615	0.16410038	-0.0066964286	-0.10115679	-0.024860652	0.06627933	-0.19740391	-0.08395737	-0.1477556	0.042398475	-0.01460746	-0.12158746	-0.26778305	0.00403048	0.11491895	0.009636758	-0.05357923	-0.19231836	0.0786484	-0.10561468	0.10085846	-0.00041976754	-0.05425291	-0.038276967	-0.033190344	-0.1022435	0.086374044	0.0023498626	0.080858	-0.035305914	0.077351816	0.05192927	0.06177323	-0.01892952	0.04104389	0.008434916	-0.10945991	0.008364568	0.21751398	0.00044826695	-0.070068754	0.06487888	0.014116502	-0.056062873	-0.013652861	0.015059524	-0.1556529	-0.1534956	-0.0065383483	0.1790608	-0.06477627	-0.029742287	0.05934518	0.09795318	0.010128885	-0.004972966	-0.042323276	0.016649557	0.04544305	-0.024498153	-0.06449662	0.0668286	-0.101498716	0.0039929044	-0.030250438	0.12259298	0.016233224	-0.04263467	-0.060735375	-0.08857322	-0.0649842	-0.013289365	-0.2282275	0.22011833	0.052581884	-0.13426867	0.026578134	-0.059550744	0.041006856	0.00016814028	-0.08134397	-0.053360708	0.04690912	0.026783478	-0.083021626	0.016336711	0.097456045	0.023494884	-0.09299156	0.049452096	0.21067224	0.06570477	-0.04776365	-0.03785782	0.080378816	-0.01609914	0.08113792	0.10428852	0.12724693	-0.110464856	0.037738726	-0.14177366	0.091365956	0.060664393	-0.0012052698	-0.11428857	-0.019374529	0.13968301	0.06253081	-0.10974555	-0.07860193	-0.03887334	-0.027615616	-0.0022414904	-0.056634184	-0.009481677	0.036172874	0.024528481	0.013029209	0.055488903	0.103924386	0.06772068	-0.15202941	0.14197223	0.0069339913	0.099830724	-0.029861422
AHX56914.1	0.04476003	0.08097585	0.108109474	-0.001992805	-0.09848739	-0.015384653	0.15059991	-0.26063356	-0.007478526	-0.09990779	0.08789681	-0.107703604	-0.090548076	-0.31156668	0.027967487	0.07562084	-0.02619482	-0.015670957	-0.08307596	-0.033711407	-0.06869242	0.1971382	-0.025592795	-0.01426448	0.05607846	-0.11099872	-0.15949462	0.13190216	0.03536792	0.082815245	-0.043398663	0.05534769	-0.06389723	0.07470833	0.019264977	0.06693522	0.011802755	-0.05280817	0.01616305	0.1459836	0.051702376	-0.11136819	0.048108738	0.028767146	-0.021019708	-0.035220813	0.03368768	-0.11571153	-0.11839371	0.01010951	0.099073775	0.02055823	0.01721002	-0.08730341	0.082285225	-0.0063940356	-0.067304805	-0.015927315	-0.026240876	0.039236397	0.064358935	-0.14842099	0.08186426	-0.0123051815	0.0838459	0.04201685	0.054924935	0.08670822	-0.07552428	-0.05557109	-0.060848672	0.03251506	-0.20060958	-0.16764748	0.059974935	0.020230101	-0.027610425	0.09933102	0.0042395038	-0.0451398	-0.023012588	-0.07308452	-0.10105778	-0.031755235	0.010023477	-0.09411197	0.098808855	0.025429344	0.04520131	-0.11424368	0.056565206	0.10470579	0.035361983	0.036559947	0.030240718	-0.013311111	0.07897188	0.09246548	0.07781418	0.117954925	0.0066916654	-0.018616734	-0.015778894	0.13668102	0.055074353	-0.043419614	-0.15600319	-0.058717746	0.11826072	0.040842358	-0.08094476	-0.095961064	-0.1263628	-0.03765763	0.115820035	-0.081502266	-0.07209022	0.13101843	0.10677907	0.063033715	0.0675873	0.19047831	0.091934204	-0.023843694	0.10959307	0.030006034	0.12499683	0.040408645
ALO19893.1	0.05451759	0.06570609	0.17774625	-0.011480541	-0.07109318	-0.009498336	0.08765827	-0.17190824	-0.05655323	-0.16053471	0.035148058	-0.018323516	-0.117711596	-0.27219486	-0.016646821	0.100212544	0.01839102	-0.05640149	-0.1753783	0.054309573	-0.10654245	0.1201314	0.0134772	-0.0693099	-0.04677858	-0.009441863	-0.102287486	0.065865174	-0.028778637	0.060685772	-0.04674082	0.11330253	0.06521389	0.08786315	-0.0055823117	0.0691752	-0.00836977	-0.11749841	0.0051315683	0.23584627	0.0133859245	-0.044602185	0.07252746	-0.010160284	-0.08121043	0.008148974	0.013535185	-0.12796177	-0.14568996	-0.017248483	0.18226002	-0.06281833	-0.038003	0.06265748	0.112518355	0.025510652	-0.012308836	-0.046034012	-0.0048734555	0.03888715	-0.007494331	-0.07278311	0.06464832	-0.07305733	-0.006360642	-0.03468075	0.109148175	-0.0070363046	-0.06839508	-0.03723475	-0.076543085	-0.06974457	-0.009657656	-0.21055856	0.2064251	0.03403195	-0.13507168	0.0126582915	-0.049564045	0.036727194	0.009838374	-0.10243907	-0.011324299	0.057763953	0.006307701	-0.04330711	0.0062091844	0.10264993	0.005901707	-0.096976124	0.048292056	0.22478811	0.062126186	-0.014340879	-0.031338148	0.07412903	-0.020143636	0.09574816	0.12116154	0.13730547	-0.114332914	0.056026824	-0.12781881	0.05858115	0.04299551	-0.042074934	-0.092153504	-9.831301e-05	0.15025218	0.065457635	-0.09902581	-0.099852	-0.041292425	0.0038623463	-0.000974377	-0.09960336	-0.034218077	0.0008867506	0.04908662	0.0023464975	0.059401106	0.09373363	0.03360245	-0.17858967	0.14283419	0.035379842	0.10799778	-0.02387992
Am_88D3	0.06574996	0.049656916	0.16724864	0.025262522	-0.042270888	0.0002758149	0.04334918	-0.16638893	-0.06081824	-0.12195391	0.030148925	-0.025167976	-0.08662752	-0.25249103	0.015378637	0.0896069	0.006769557	-0.057443764	-0.18994996	0.041338358	-0.13222529	0.09013011	0.058362473	-0.057275884	-0.05875182	-0.031723376	-0.115491875	0.059445813	0.012021136	0.103481345	-0.075918525	0.08698811	0.02217878	0.07278238	0.0026637136	0.073500246	0.029834231	-0.124253646	0.04188516	0.2532517	0.033750474	-0.0061147735	0.034635756	0.021896796	-0.06226308	-0.015960058	0.051067535	-0.13535321	-0.12887782	-0.03287265	0.19155402	-0.03347962	-0.036250126	0.066850826	0.09901973	-0.0047702743	-0.046814665	-0.00095559715	0.004012056	0.01985721	7.9971705e-06	-0.11396297	0.12362316	-0.08024688	-0.006805303	-0.0006884624	0.11095615	0.0013552916	-0.05242909	-0.0575997	-0.13433853	-0.008364762	-0.041124076	-0.24161485	0.17846006	0.02994121	-0.120340504	0.00074710784	-0.044495057	0.017755885	0.013187286	-0.07417363	-0.00042373486	0.07125899	0.015570328	-0.055912986	-0.03181794	0.10989632	0.015351909	-0.08624748	0.059951797	0.23601107	0.0578814	-0.013533663	-0.04545832	0.08772444	-0.009637921	0.09424119	0.101817064	0.1304802	-0.076870345	0.030135447	-0.13099012	0.06767971	0.0047198115	-0.049025998	-0.14559267	-0.026830383	0.1489308	0.103278115	-0.083634645	-0.13054691	-0.050036386	-0.02404952	0.0078371465	-0.106426775	-0.047136392	0.006240084	0.035029817	0.030638065	0.019436065	0.08242524	0.046703197	-0.16686746	0.14283021	0.024871888	0.08715678	-0.020963201
ApUFGT1	0.03272812	0.03218359	0.17759524	-0.016536506	-0.07724049	-0.026929736	0.10822227	-0.15963225	-0.08258141	-0.15858573	0.0819723	-0.023318725	-0.10433254	-0.28323334	0.016911611	0.09803168	0.038568687	-0.06628211	-0.17089662	0.021100376	-0.07697968	0.11105124	-0.0025122054	-0.05318797	-0.046232317	0.02225943	-0.118528455	0.03439578	0.011818132	0.072620615	-0.038709804	0.11954163	0.074154496	0.08680977	-0.00058123074	0.07760288	0.009603537	-0.12017353	0.03313187	0.20704976	0.0023197904	-0.048304103	0.06591747	-0.0402596	-0.06206629	-0.014351587	0.027356464	-0.12847131	-0.1324818	-0.022644594	0.15862834	-0.04479137	-0.04484211	0.07787261	0.10280859	0.0047795433	-0.0056505026	-0.03351058	0.009694139	0.021732029	0.028631974	-0.0798389	0.058588576	-0.077341646	0.016221842	-0.09521408	0.114331506	0.021403583	-0.054440133	-0.04611974	-0.065232925	-0.081224605	0.00049189903	-0.18415001	0.22087428	0.017757412	-0.11361993	0.0504105	-0.05722081	0.03353503	0.01628634	-0.10350357	-0.027070573	0.055144034	0.038747273	-0.040578414	0.032298222	0.079824865	0.04088963	-0.11657455	0.06325562	0.21601696	0.023325043	-0.029780459	-0.034649804	0.07436256	-0.02323913	0.08894394	0.11627053	0.1614798	-0.11669691	0.032790057	-0.1452573	0.08139973	0.069896765	-0.03456821	-0.097001396	-0.026504852	0.15308563	0.075324014	-0.09015149	-0.123752765	-0.050711628	0.024925878	0.025501985	-0.06873775	-0.023178058	0.010354584	0.034200925	0.020982606	0.05738907	0.086229384	0.05650828	-0.17167898	0.14579357	0.04797737	0.136836	-0.009319979
ApUFGT2	0.04073739	0.075419776	0.17718035	-0.01183913	-0.08901084	-0.011573057	0.041454915	-0.18123676	-0.06106809	-0.13967098	0.03938085	-0.0026621798	-0.12478631	-0.25634712	-0.0005554408	0.097169876	0.02533302	-0.043685853	-0.18253139	0.024621531	-0.1250158	0.12187929	0.03135639	-0.055651814	-0.07180064	-0.016116658	-0.105277136	0.08649542	-0.021540003	0.04957757	-0.07432835	0.081470944	0.054529525	0.079100296	-0.03845747	0.054621033	0.041054927	-0.12677464	-0.005257596	0.23448092	0.030789595	-0.054812398	0.04281571	0.017784776	-0.07432181	0.015349899	0.009673761	-0.12243459	-0.14014186	-0.019860836	0.21537279	-0.061334662	-0.03125326	0.062252063	0.09836162	0.01497613	-0.043931767	-0.027696038	0.024349155	0.009539662	-0.015591406	-0.10747041	0.08364487	-0.08949915	-0.0020906013	-0.011385295	0.12166627	-0.001344355	-0.068363965	-0.061167195	-0.09487684	-0.055344652	-0.03295531	-0.20661715	0.2047835	0.045608595	-0.12650849	0.017643064	-0.05270092	0.021042284	0.00062092236	-0.09606004	-0.016401	0.053745702	-0.008185807	-0.062070034	-0.015440574	0.12621191	0.025549153	-0.12171796	0.0391966	0.20485786	0.06449615	-0.036674578	-0.03598036	0.05386457	0.009073693	0.11449921	0.123324625	0.116009235	-0.10215958	0.058430478	-0.13152535	0.074331306	0.02668094	-0.048526432	-0.11261	-0.036925003	0.15193762	0.06475561	-0.09379153	-0.09463277	-0.029147068	-0.030831145	0.010206665	-0.08113684	-0.030625312	0.010914671	0.03736972	0.025481809	0.036292102	0.07639938	0.033681385	-0.17746678	0.13964002	0.030509584	0.08915357	-0.005907359
ApUFGT3	0.048995886	0.063777596	0.20314021	0.023409436	-0.044455633	-0.007615654	0.06879949	-0.16069043	-0.0695813	-0.10899844	0.046110213	-0.010383569	-0.10363568	-0.26324487	0.008806678	0.06187872	0.009687625	-0.044129204	-0.16070247	0.014820305	-0.12017032	0.11604708	0.047690053	-0.05956261	-0.068058826	0.003993325	-0.13431877	0.06322257	-0.006648316	0.06854376	-0.06847832	0.09474699	0.034388404	0.10630447	0.013180962	0.06279245	0.042390402	-0.14375821	0.038740423	0.25618818	0.03998516	-0.0021333436	0.028258184	0.021122176	-0.05398935	-0.017175492	0.060230013	-0.11835018	-0.11642306	-0.048733424	0.19321243	-0.026505323	-0.034415558	0.07462167	0.1072313	-0.011848483	-0.04340109	-0.018950617	-0.0016992708	0.018297208	0.024308087	-0.107615076	0.11106598	-0.059047073	-0.009689171	-0.011993058	0.08695092	-0.0019504091	-0.066937916	-0.06345893	-0.09861756	-0.040186804	-0.016635198	-0.21130928	0.1787576	0.034710612	-0.123531885	-0.011765358	-0.034172807	0.0045441478	-0.0070476937	-0.0889514	0.025396155	0.07687924	-0.00026989687	-0.055193793	-0.015660547	0.11089161	0.026367884	-0.110883534	0.051037308	0.22411466	0.050693672	-0.013782724	-0.02972536	0.06454314	-0.010871617	0.09144215	0.1231336	0.13756426	-0.0913525	0.05154451	-0.12607624	0.055014927	-0.0022512039	-0.04970671	-0.12260609	-0.05305344	0.13480152	0.10117748	-0.1024025	-0.15010181	-0.053019516	-0.01353984	0.014455063	-0.12952961	-0.051070005	-0.0105723	0.04755877	0.021925345	0.019442387	0.045579262	0.03175911	-0.1996726	0.13588528	0.028363334	0.090173945	-0.004570525
AQQ16706.1	0.057928964	0.048684955	0.16740127	0.016310148	-0.04783754	0.0018275438	0.037501864	-0.16113107	-0.06581839	-0.12364722	0.04076869	-0.0331395	-0.06676061	-0.25545326	0.023560308	0.091736026	0.0067081647	-0.05520736	-0.16052923	0.036624257	-0.11660416	0.096227966	0.06289941	-0.08076531	-0.021332972	-0.004622879	-0.10003722	0.04475053	0.028902637	0.10279182	-0.062574424	0.08071742	0.020004358	0.090948455	0.01279696	0.060618456	0.022604717	-0.12621763	0.044402607	0.25107792	0.018790655	0.014195838	0.018841686	0.035737902	-0.0903298	-0.021437721	0.06300152	-0.13850471	-0.14107904	-0.036448073	0.1786172	-0.055001482	-0.041392654	0.07052996	0.13832179	-0.0021035674	-0.023988798	-0.0005473772	0.016753992	0.03711674	0.0042350804	-0.10658044	0.102340065	-0.087885015	-0.049489543	-0.0049897665	0.10247968	0.010569144	-0.046272375	-0.06374717	-0.12675916	0.009425083	-0.03339509	-0.25296387	0.17001541	0.042883456	-0.14280038	-0.006308226	-0.041485667	0.032139387	0.00020391544	-0.06834157	-0.010563578	0.045358736	0.05084492	-0.0742634	-0.02602244	0.07822145	0.0115366	-0.08425237	0.05169509	0.22314784	0.04708793	-0.022966513	-0.037472673	0.08692979	-0.028252067	0.10787229	0.100113146	0.13159986	-0.06446299	0.025290204	-0.13340479	0.052366775	0.0123785185	-0.034074713	-0.13406387	-0.025881471	0.17116329	0.096821696	-0.086927816	-0.13177109	-0.07612423	-0.0035018271	-0.006410953	-0.105226666	-0.03817421	-0.022538869	0.034648705	0.024697037	0.0068050493	0.067642316	0.05819243	-0.1793331	0.14419423	0.042179544	0.11753081	-0.046356734
At_71B1	0.058236577	0.033154294	0.16748342	0.012082005	-0.036581356	0.0024753497	0.048063952	-0.14858629	-0.07661695	-0.11915667	0.040586706	-0.02918869	-0.08068836	-0.25423813	0.007387703	0.088838674	0.0047585187	-0.05219813	-0.17450762	0.05006236	-0.10567065	0.08492453	0.063085236	-0.079862185	-0.041429978	-0.00089573214	-0.09930949	0.029798524	0.022706438	0.09724154	-0.06200044	0.09388041	0.035525415	0.09616617	0.013779252	0.07026472	0.01719895	-0.1180588	0.040790256	0.2579358	0.015370375	0.022145722	0.032148946	0.02803696	-0.07783717	-0.009478485	0.066033944	-0.13271339	-0.14074907	-0.043009438	0.1837081	-0.05786101	-0.042159192	0.08204907	0.121768236	-0.002557543	-0.027198689	-0.008014557	0.0017955471	0.01961246	0.011871369	-0.09521687	0.09642546	-0.083968215	-0.034876052	-0.022954624	0.1098796	-0.0011716109	-0.045765504	-0.05617915	-0.12420241	-0.0051562404	-0.026981065	-0.24264468	0.18186197	0.03672265	-0.14111233	-0.008487449	-0.03995563	0.03156802	0.019280463	-0.085577145	0.007546221	0.060328934	0.04412078	-0.05848891	-0.034145486	0.088518396	0.013618538	-0.07503124	0.039734006	0.23190066	0.03957762	-0.011481032	-0.049257215	0.10294064	-0.036918394	0.097077094	0.107273296	0.14153697	-0.079972774	0.0316276	-0.1392798	0.049016807	0.010391328	-0.03831426	-0.13219933	-0.018339887	0.16438876	0.10438488	-0.08483768	-0.124901935	-0.06264885	0.011333315	-0.009146868	-0.10908353	-0.03847606	-0.03146868	0.04264888	0.015152938	0.014267826	0.06837247	0.037294596	-0.18463258	0.14233416	0.043006383	0.11668165	-0.04182381
At_71B5	0.05443584	0.034394473	0.1661704	0.016206402	-0.041517843	-0.0013253134	0.052796904	-0.15326467	-0.07015414	-0.12484317	0.04765741	-0.032972712	-0.06656398	-0.25470114	0.024199508	0.09698469	0.010565317	-0.05997221	-0.16970742	0.036501266	-0.10566201	0.08870066	0.056753278	-0.08022021	-0.02619065	0.005817392	-0.09419449	0.029315079	0.031440686	0.104999386	-0.05301954	0.09849822	0.035782747	0.09414097	0.016642997	0.06523993	0.015287257	-0.11962811	0.049573578	0.25246513	0.015548361	0.019507833	0.024662653	0.022837117	-0.089651994	-0.015091192	0.06776613	-0.13076268	-0.13838145	-0.03478402	0.1712312	-0.053279914	-0.051468533	0.07960112	0.13614301	0.0001693736	-0.02359215	-0.0007496157	0.0111511005	0.030090805	0.010066292	-0.1012874	0.090248704	-0.0947274	-0.03828698	-0.0256662	0.10389346	0.0071567013	-0.042735744	-0.058057975	-0.12033663	-0.0015750785	-0.025239661	-0.24619098	0.17894737	0.03756305	-0.1442848	0.0014091777	-0.043100197	0.03699351	0.009193217	-0.07886104	-0.00069238385	0.05155565	0.05362258	-0.06058751	-0.028058454	0.07767995	0.016005225	-0.08151393	0.051665522	0.22866988	0.039290886	-0.019691404	-0.03629865	0.094405845	-0.046794854	0.10253008	0.09912994	0.14100198	-0.07470559	0.023488646	-0.13890167	0.053432785	0.01961338	-0.038430046	-0.128661	-0.017741289	0.16911422	0.10283842	-0.079111844	-0.1294318	-0.07081288	0.012375278	-0.007054448	-0.10289883	-0.03516645	-0.03307964	0.040383656	0.019552454	0.010525207	0.069344774	0.054773077	-0.18673898	0.14400764	0.04267089	0.12525618	-0.050519053
