enzyme	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
AFJ52996.1	0.04778637	-0.043162417	0.054275464	0.05283294	-0.02074891	-0.007467984	0.13241592	-0.08535609	-0.05084324	-0.06534153	0.07265202	-0.081357	0.03528765	-0.22699176	0.039654054	0.029508999	-0.016708713	-0.14832668	-0.0630792	0.09508153	-0.014210462	0.020405566	0.026110338	0.011919044	0.050037276	-0.12791741	-0.1255857	-0.0199634	0.16702019	0.29747102	0.015738672	0.046021584	-0.08749488	0.008912303	0.029023118	0.008910812	-0.08104177	-0.020243755	0.25412083	0.07818954	0.026812447	-0.024549173	0.04013265	-0.05368419	0.036305975	-0.14417893	0.017082706	-0.07036898	0.018990677	0.03022524	-0.008020093	0.10683354	0.00038082604	-0.042196065	0.046233375	-0.05113759	0.020821352	0.07258232	-0.057947997	-0.0008163616	0.02799114	-0.106833786	0.06105276	-0.012832578	0.10980951	-0.024384266	0.06282546	0.053228654	-0.034962486	0.031084834	-0.1644607	0.04712736	-0.099871	-0.17985694	0.004082685	-0.012136968	0.061811034	0.116251804	-0.019854775	-0.027450677	0.018429944	0.009539099	-0.060222164	-0.046344478	0.14301288	-0.018097984	0.032099072	-0.1401998	-0.0203183	0.05009929	0.121899575	0.08701075	0.0054528327	0.09592145	-0.05557791	0.1246804	-0.044640332	-0.040270433	-0.037413284	0.18468234	0.036980674	-0.21037595	0.054041646	0.13892451	0.05392552	0.030286143	-0.2129019	-0.04244744	0.05395856	0.093500406	-0.03765609	-0.06480457	-0.027753359	0.061515253	0.05821494	0.010555377	-0.01480546	0.08120347	0.02720828	0.09874989	0.036486756	0.21948247	0.17459394	0.056206618	0.08569162	0.08485845	0.15729941	0.025627188
AHX56914.1	0.014829178	-0.10548244	-0.045031223	0.0020687652	0.0024583454	0.024633173	0.06530807	0.030462947	-0.07643672	0.03968955	0.053601928	-0.10649849	0.066126786	-0.10646492	-0.050761793	0.016877485	-0.02670858	-0.15042512	0.0017486957	0.11100824	0.08724763	-0.11759754	0.09858195	0.05398326	0.07990117	-0.092655055	-0.13990054	-0.063368805	0.2361851	0.25910762	0.025080547	-0.07335115	-0.085728295	-0.024424404	-0.0105581535	0.02845575	-0.14784122	0.025629422	0.23867922	-0.013929855	-0.09601559	0.09893286	0.004064777	-0.07363568	0.016908797	-0.16955657	0.029968118	-0.019651148	0.097081795	0.0011931241	-0.0088526085	0.011305626	0.029546946	-0.02212595	0.02828344	-0.022837402	0.066416755	0.08739032	-0.05702187	-0.07223091	0.069274575	-0.024496486	0.05570787	0.051055867	0.045559127	-0.044931345	0.08367495	0.065088265	0.012327722	0.065390155	-0.11890417	0.054615296	-0.09837969	-0.087344304	-0.044150773	0.0010755059	0.05984555	0.076791	0.036870565	-0.008350341	0.040554013	-0.0014122712	-0.038255922	-0.01904086	0.19362181	-0.029513901	0.023610722	-0.17806637	-0.040899467	0.09212774	0.06960446	0.0055424357	-0.017735897	0.10351545	-0.110296145	0.17876004	-0.03305823	-0.04670485	-0.034710065	0.15926917	0.10351279	-0.23712946	0.07708952	0.09817666	0.04076776	0.081973605	-0.14789876	-0.0012122848	0.079668365	0.10475529	-0.01577586	-0.015566671	-0.041257676	0.11642445	0.04400925	0.05730183	-0.06382701	0.029872235	-0.017031014	0.07890747	0.060689595	0.14812395	0.13297525	0.17437238	-0.016582573	0.13514166	0.13928945	0.027407754
ALO19893.1	0.098339766	0.021514792	0.062183164	0.051658046	-0.033467025	-0.00017653288	0.21664712	-0.08158373	-0.065564156	-0.05492641	0.03993947	-0.032139063	-0.05888632	-0.2594031	-0.038332913	0.003840514	-0.0049596587	-0.102484465	-0.038325775	0.10921545	0.012763141	0.08641861	-0.03065116	-0.0034730744	0.055838138	-0.14871234	-0.12834962	0.0059070666	0.064506926	0.2407885	0.009780603	0.054280076	-0.11807308	0.054676123	0.06897709	-0.0319249	-0.09197358	-0.026605474	0.2245794	0.097479135	0.030934926	-0.070129655	0.112672016	-0.049483344	0.08683131	-0.1343209	-0.016052324	-0.0521357	0.005313562	0.01091897	-0.024457887	0.1378544	0.019227764	-0.09415938	0.017364347	-0.06506389	0.046524163	0.01293181	-0.11369888	-0.033649206	0.010235639	-0.08056263	0.022165973	0.052393287	0.13453709	-0.032141082	0.087675825	0.035290774	-0.060459454	0.039477114	-0.09245372	0.00953778	-0.12867035	-0.13542962	-0.013486	0.022672081	0.09028204	0.08859872	-0.018696615	-0.044232726	0.0046734326	-0.035204157	-0.013971448	-0.030373538	0.102979384	-0.009060766	0.06577638	-0.14770517	-0.02016689	0.061496884	0.083059974	0.0739446	0.03412561	0.14576612	-0.04676237	0.10192291	-0.02485376	-0.061394617	0.02265991	0.21617861	0.010492364	-0.15280877	0.08373212	0.09599186	0.019354872	0.011989028	-0.20990685	-0.04820967	0.016288208	0.039581068	-0.086747326	-0.022837294	0.010032799	0.10037386	0.02326521	-0.065769814	-0.020851	0.094564036	0.0832981	0.07141702	0.08598505	0.27238312	0.090060055	0.0365392	0.0475539	0.09077289	0.17435998	0.05296991
Am_88D3	0.12027752	-0.008145871	0.069687076	0.076842315	0.001961871	0.013136608	0.12809828	-0.124069214	-0.0076862164	-0.084199086	0.07696105	-0.076290116	0.016673464	-0.2613374	0.04598662	0.04912744	-0.038779892	-0.10876929	-0.11588288	0.06577992	-0.059134256	0.049555406	0.037153784	-0.024959773	-0.0028764242	-0.13486436	-0.14946036	0.018538607	0.10325966	0.27557907	-0.019449607	0.046852957	-0.11678749	0.029705858	0.03012917	0.016055351	-0.04318208	-0.038376804	0.17776822	0.14496537	0.04327258	-0.0068019405	0.048395585	-0.04456602	0.016479408	-0.095053	0.04664005	-0.096006684	-0.016208645	0.022659503	0.02687163	0.081688076	0.013257969	-0.044674776	0.017855125	-0.023027753	-0.06386235	0.065418646	-0.075545	-0.03352428	0.04189603	-0.1350229	0.1445805	0.0005187212	0.114003114	0.015283388	0.055138778	0.020644804	-0.008330919	-0.0023717592	-0.14188588	0.08595429	-0.14950971	-0.1880952	0.042133052	0.0064532757	0.07249005	0.11561136	0.023646748	-0.045726895	-0.025162503	-0.049367048	-0.023399848	0.015025319	0.08227499	-0.05998941	0.03841718	-0.04577794	0.016202683	0.022843137	0.114340656	0.15834261	0.040445335	0.085215755	-0.060827415	0.08622041	-0.0021214276	-0.02350701	0.031980228	0.16220844	0.05508403	-0.17058578	0.04363942	0.15546529	0.011500295	-0.013650298	-0.22637144	-0.048365917	0.07732762	0.10209812	-0.046001036	-0.091105886	-0.028239485	-0.014703277	0.07118102	-0.071115956	-0.108338445	0.065043	0.062731765	0.06943522	0.045638446	0.24144411	0.13767949	0.009577655	0.090057045	0.05132055	0.14138864	0.032669306
ApUFGT1	0.014124591	-0.046086233	0.0026774837	0.05376493	0.05050908	0.006249676	0.15152119	-0.015958901	-0.025176385	-0.05336116	0.15151557	-0.0932905	0.07624724	-0.18583521	0.073737785	-0.019400096	0.026091902	-0.15421954	0.03015981	-0.01954326	0.027253687	0.044026304	0.02698875	0.038744938	0.074307434	-0.06315046	-0.11297104	-0.040698465	0.17493618	0.26958197	0.000119572986	0.019305972	-0.09477646	0.086136095	0.033985805	0.041068427	-0.07249603	0.00643036	0.25429082	0.0340137	0.049707513	0.00566929	0.025164608	-0.1049632	0.03122193	-0.08372446	0.0266879	0.009968273	0.100408435	0.029516561	-0.09299746	0.14846173	0.015839478	-0.047858153	0.024846395	-0.03141801	0.010902135	0.085341245	-0.08012575	-0.0150117455	0.11899321	-0.14854732	0.039503768	0.03242934	0.11348972	-0.055732004	0.02028621	0.038776774	-0.04851018	0.0740227	-0.1344693	0.07638261	-0.062640734	-0.09557368	-0.063396364	-0.029625367	0.0984454	0.15428233	0.017304998	-0.041920245	0.044242337	0.028495895	-0.041585907	-0.042713776	0.14385176	0.00805254	0.07192915	-0.16857758	-0.002181319	0.026442802	0.10739254	0.008217222	-0.05060965	0.07448569	-0.014503705	0.058843587	-0.038687676	-0.05255698	-0.045572005	0.1588556	0.04868201	-0.22244467	0.06050986	0.09328979	0.046684697	-0.019064076	-0.16840345	-0.038927346	0.037125714	0.0897528	-0.019207148	-0.10751611	-0.08382002	0.107292645	0.10874004	0.03795801	-0.025546279	0.03522513	0.06288657	0.14406218	-0.018036492	0.17535567	0.16634119	0.10125687	0.04261763	0.111409314	0.18228501	0.071409814
ApUFGT2	0.10281715	0.013752239	0.039670855	0.04227522	0.01192081	0.03572889	0.11020651	-0.12636971	0.004783317	-0.12705368	0.10285886	-0.08497174	0.03479563	-0.23783746	0.0504173	0.045773007	-0.022398883	-0.13745593	-0.10790495	0.020809954	-0.08231272	0.081094615	0.030736098	-0.010424053	0.009861024	-0.14820458	-0.10338054	0.040958468	0.08736329	0.27921963	-0.061322913	0.016543852	-0.11001974	0.06289226	-0.037595097	0.016583672	-0.040221054	0.008569819	0.14597525	0.16417426	0.07791076	-0.018434804	0.042413846	-0.05134941	-0.05442951	-0.030778889	-0.003373945	-0.053250536	0.016470462	0.024251804	0.027706528	0.07086653	0.044557925	-0.06294464	0.026576128	0.023868965	-0.08072577	0.08965551	-0.061131235	-0.036893666	0.029204246	-0.2055483	0.09528153	-0.03736069	0.11878757	0.062854104	0.069291994	-0.021978805	-0.054274973	0.021470785	-0.18637748	0.105949335	-0.16449249	-0.19817933	0.023828622	-0.0021023	0.0739042	0.12143256	0.020426359	-0.0332647	-0.010815554	-0.010843934	-0.03625705	-0.0107145365	0.07083538	-0.024808494	0.012044495	-0.04227238	0.02804832	0.017788978	0.09301678	0.097875655	0.07959859	0.06639353	-0.033699654	0.03873639	-0.01824248	0.024986643	0.027246345	0.12914467	0.0420241	-0.18157062	0.059128247	0.1487191	0.031631067	-0.049253486	-0.20016333	-0.04286121	0.095218346	0.07680143	-0.04391534	-0.080819614	-0.03843578	-0.030684609	0.08652764	-0.022874648	-0.098032355	0.048144843	0.085061	0.123774126	0.015330933	0.23982887	0.15194795	0.027433237	0.076926045	0.07339681	0.16582613	0.039238513
ApUFGT3	0.067496546	-0.030800609	0.06609067	0.0983603	0.021574331	0.016535537	0.16532804	-0.057578545	-0.026683372	-0.01845598	0.07126293	-0.055925306	0.032608435	-0.21697344	0.031334076	0.02846161	0.014148827	-0.1287575	-0.045909144	0.020577086	-0.0010035834	0.04100059	0.034227554	0.026406683	0.026616814	-0.106801495	-0.13924484	-0.020959636	0.107882105	0.28673416	0.006785618	0.056481298	-0.111897685	0.038374998	0.05755153	-0.004884913	-0.07535789	-0.0481133	0.28581244	0.08076147	0.057886705	0.0015356292	0.010226572	-0.06423852	0.04275018	-0.13400829	0.032934006	-0.0023747555	0.059681483	0.041565735	-0.022012852	0.14110151	-0.013629004	-0.041170463	0.03465059	-0.057419993	-0.02756663	0.07441029	-0.08650173	-0.06117884	0.0364465	-0.13306305	0.08305317	0.0227694	0.1431857	-0.018838178	0.045326333	0.028242746	-0.034408055	0.036959775	-0.14855492	0.06569942	-0.110422485	-0.122109994	-0.016530352	-0.008409368	0.08551291	0.12143369	0.006737689	-0.05160333	-0.004635444	-0.016429782	0.031429034	-0.017654605	0.116198696	-0.022652192	0.022314854	-0.1330264	-0.004150938	0.024181085	0.1310802	0.081828445	0.009297701	0.112793505	-0.027022231	0.07970142	-0.03899332	-0.031264108	0.00038509964	0.20286323	0.07831299	-0.20883636	0.0864638	0.12368038	0.015061522	-0.020873556	-0.22169343	-0.074419394	0.038839746	0.12579568	-0.015774572	-0.077713676	-0.025049483	0.06281284	0.08506825	-0.055287726	-0.06893253	0.05134934	0.04407724	0.09917145	0.028818844	0.20707776	0.13701996	0.009935237	0.04765773	0.0966234	0.17814264	0.042646706
AQQ16706.1	0.03418963	-0.011007646	0.09230541	0.0672647	-0.015077479	0.009045796	0.13438265	-0.095681496	-0.041666623	-0.008053191	0.08810664	-0.08384431	0.0008724832	-0.26702902	0.034725174	0.010271035	-0.04267906	-0.09940263	0.0057918844	0.055621535	0.023229955	0.08465885	0.07752094	-0.020092769	0.05964363	-0.099940106	-0.15757118	0.0061356546	0.14181642	0.24449283	0.018133886	0.042677205	-0.12313342	0.0721436	0.053406764	-0.0021595804	-0.0506483	-0.055423785	0.2506876	0.09197651	0.04491579	0.011513266	0.008923337	0.011701525	0.03991659	-0.14751436	0.054581195	-0.06764626	0.012066515	0.021057032	0.02663165	0.09086326	0.023146357	-0.050853822	0.0788951	-0.07611599	-0.003205195	0.04381437	-0.09071683	-0.024237607	0.076404735	-0.10027498	0.10693601	0.036953937	0.08706131	-0.0045801084	0.014000818	0.06747739	-0.053686056	0.003248673	-0.13534798	0.06846886	-0.13732299	-0.153328	-0.033606242	0.023267873	0.064115375	0.0994428	0.0284142	-0.06423978	-0.03426818	-0.036648713	-0.017541248	-0.04896387	0.12872	-0.07987098	0.043188352	-0.14262457	-0.026253061	0.0073767444	0.0862831	0.07402194	-0.017904025	0.1198386	-0.039531868	0.10494863	-0.007762513	-0.029145379	-0.0011324192	0.18605383	0.088235244	-0.18557546	0.088758685	0.12474352	0.0020892958	0.035313353	-0.24021755	-0.09273505	0.054010812	0.10963408	-0.068200484	-0.07470299	-0.070276596	0.06257644	0.06976475	-0.063323505	-0.06337986	0.04419219	0.059808306	0.098387785	0.03569388	0.18723781	0.13531569	0.005320164	0.074811056	0.09479238	0.1654209	0.044060968
At_71B1	0.074118964	0.039105084	0.05522617	0.09007531	0.021317864	0.015300766	0.16234247	-0.10181177	-0.08171135	-0.036540896	0.12652601	-0.034438644	-0.023033893	-0.26834372	0.05859372	-0.044439267	-0.04544845	-0.06950595	0.0055735474	0.03165672	0.022855911	0.13748243	0.00015366316	-0.04531106	0.05531788	-0.09380374	-0.10279011	-0.0040447027	0.095515646	0.20093437	-0.0069474424	0.0114395525	-0.15008499	0.11685813	0.06524857	-0.034771133	0.04192716	-0.00796154	0.18354493	0.13633949	0.09817597	0.0044136876	0.07338799	0.012111194	0.05826884	-0.1069994	0.059078597	-0.06246237	0.019592809	-0.02370084	-0.04682134	0.15852053	0.042894877	-0.062277656	0.018846776	-0.0856917	0.004440278	0.03843811	-0.14500484	-0.05986553	0.08896787	-0.16552408	0.07275941	0.024923982	0.09778971	-0.021676132	0.034559164	0.00065669586	-0.059300724	-0.021894202	-0.10794288	0.07739555	-0.13597745	-0.14805377	-0.020282041	0.02244521	0.10644718	0.09148948	0.01271434	-0.07817998	-0.048623927	-0.01546911	-0.0063579143	-0.04608118	0.1229685	-0.05296087	0.057370014	-0.107242584	0.05601116	0.013152435	0.042396147	0.049761657	-0.019899977	0.10751836	-0.018287245	0.03868233	-0.018559005	-0.055781364	0.053003002	0.18669981	0.019967679	-0.18519709	0.055473745	0.09858832	-0.0071020774	-0.005395893	-0.22333662	-0.11736592	0.030334035	0.0464634	-0.10914292	-0.11437313	-0.050226886	0.09016179	0.06624368	-0.081943214	-0.036204793	0.010417778	0.11572207	0.14834817	0.01013666	0.18106234	0.10923024	-0.022932706	0.051179837	0.080440775	0.20658332	0.0490571
At_71B5	0.042833492	0.00790318	0.071085654	0.053742874	-0.016114637	0.011241704	0.120760955	-0.08176444	-0.045159075	0.0068612634	0.12668788	-0.08279558	0.010341031	-0.2828435	0.053866852	-0.012677015	-0.055091538	-0.0772604	0.039263725	0.018026926	0.064972185	0.109965906	0.08548761	-0.06354169	0.07680029	-0.054561518	-0.13976535	-0.025734218	0.15318668	0.19759439	0.03128286	0.036802247	-0.12762053	0.09459173	0.05470494	-0.01319337	-0.015510598	-0.028838368	0.21276094	0.101515494	0.03657715	0.028061505	0.0012406397	0.009723281	0.028178252	-0.12808746	0.07961477	-0.06252509	0.009187793	-0.00249008	0.015177748	0.08400538	0.027141552	-0.07492223	0.07483767	-0.081275225	-0.0075179483	0.047645114	-0.090967126	-0.054368515	0.098121025	-0.11851342	0.09309211	0.047765523	0.053225685	-0.025706397	0.011184973	0.06570776	-0.042320274	-0.021616304	-0.09829073	0.080137394	-0.1574401	-0.1377144	-0.030519653	0.041344564	0.074634746	0.10697267	0.03347735	-0.08014856	-0.060401	-0.05529896	-0.026771598	-0.070369974	0.14615162	-0.09131018	0.03781203	-0.1518354	-0.005471854	-0.00092230743	0.054488916	0.052558668	-0.04350807	0.123247	-0.045201417	0.09090541	0.002082966	-0.021799058	0.034109775	0.18641534	0.09519577	-0.19440421	0.08545822	0.11571714	-0.0012039846	0.02345153	-0.23527217	-0.11342466	0.076791026	0.07290763	-0.065221064	-0.091314375	-0.08366575	0.104957536	0.056492638	-0.06911058	-0.05302444	-0.008534003	0.08461719	0.09704814	0.014695903	0.1657996	0.12114008	-0.022697175	0.05395524	0.10731932	0.19945858	0.055349354
